RequestedISIN;RequestedDate;referenceDate;compositeLiquidityScore;concentrationWeightedLiquidityScore;holdingScore;turnoverScore;isin;amountType;ecbTiering;ecbHaircut;optionFlag;zeroCouponFlag;couponPaymentDate;couponRecordDate;interestPeriodStartDate;interestPeriodEndDate;couponPaymentFrequency;rateType;couponInterestRate;couponGrossAmount;aggregatedHoldingData.freeFloatHolding;aggregatedHoldingData.freeFloatHoldingEur;aggregatedHoldingData.freeFloatMarketValueEur;aggregatedHoldingData.concentration;aggregatedHoldingData.averageHoldingSizeEur;aggregatedHoldingData.averageHoldingSizeMarketValueEur;aggregatedHoldingData.medianHoldingSizeEur;aggregatedHoldingData.medianHoldingSizeMarketValueEur;aggregatedHoldingData.simpleMovingAverage['30'].concentration;aggregatedHoldingData.simpleMovingAverage['30'].concentrationDelta;aggregatedHoldingData.simpleMovingAverage['30'].freeFloatHolding;aggregatedHoldingData.simpleMovingAverage['30'].freeFloatHoldingDelta;aggregatedHoldingData.simpleMovingAverage['30'].averageHoldingSize;aggregatedHoldingData.simpleMovingAverage['30'].averageHoldingSizeDelta;aggregatedHoldingData.simpleMovingAverage['30'].medianHoldingSize;aggregatedHoldingData.simpleMovingAverage['30'].medianHoldingSizeDelta;aggregatedTransactionData.totalVolCurrentBD.volumeEur;aggregatedTransactionData.totalVolNext1BD.volumeEur;aggregatedTransactionData.totalVolNext2BD.volumeEur;aggregatedTransactionData.transactionCount;aggregatedTransactionData.averageTicketSizeEur;aggregatedTransactionData.averageGrossSettlementPriceEur;aggregatedTransactionData.medianTicketSizeEur;aggregatedTransactionData.medianGrossSettlementPriceEur;aggregatedTransactionData.settlementVWAPEur;aggregatedTransactionData.simpleMovingAverage['30'].concentration;aggregatedTransactionData.simpleMovingAverage['30'].concentrationDelta;aggregatedTransactionData.simpleMovingAverage['30'].volume;aggregatedTransactionData.simpleMovingAverage['30'].volumeDelta;aggregatedTransactionData.simpleMovingAverage['30'].averageTicketSize;aggregatedTransactionData.simpleMovingAverage['30'].averageTicketSizeDelta;aggregatedTransactionData.simpleMovingAverage['30'].medianTicketSize;aggregatedTransactionData.simpleMovingAverage['30'].medianTicketSizeDelta;aggregatedTransactionData.simpleMovingAverage['30'].averageGrossSettlementPrice;aggregatedTransactionData.simpleMovingAverage['30'].averageGrossSettlementPriceDelta;aggregatedTransactionData.simpleMovingAverage['30'].medianGrossSettlementPrice;aggregatedTransactionData.simpleMovingAverage['30'].medianGrossSettlementPriceDelta;aggregatedTransactionData.simpleMovingAverage['30'].settlementVWAP;aggregatedTransactionData.simpleMovingAverage['30'].settlementVWAPDelta;transaction.transactionId;transaction.transactionDate;transaction.settlementDate;transaction.transactionType;transaction.transactionStatus;transaction.quantity;transaction.quantityUnit;transaction.cashAmount;transaction.cashSettlementCurrency;transaction.grossSettlementPrice;transaction.receivingPartyType;transaction.deliveringPartyType
AT0000A34QR4;2023-08-29;2023-08-29T00:00:00;0.8782717075;0.9642708766;0.9933527212;0.9505608641;AT0000A34QR4;A;T1;H14.00;N;N;2026-05-30T00:00:00;2026-05-29T00:00:00;2025-05-30T00:00:00;2026-05-30T00:00:00;ANNUA;FIX;4.25;42.5;1.689E8;1.689E8;1.6825818E8;40.0;4222500.0;4206454.5;1100000.0;1095820.0;39.0;0.0;1.610933333333E8;0.0485;4093766.8028;0.0314;1018333.3333;0.0802;200000.0;;800000.0;;;;;;;3.0;0.0;2576666.6667;-0.9224;458061.1578;-0.7817;295000.0;-0.661;70.5272;0.425;70.5501;0.4245;70.4528;0.4265;;;;;;;;;;;;
AT0000A32562;2023-08-29;2023-08-29T00:00:00;0.8338180307;0.9638554217;0.9975072705;0.9318653926;AT0000A32562;A;T1;H14.00;N;N;2026-01-16T00:00:00;2026-01-15T00:00:00;2025-01-16T00:00:00;2026-01-16T00:00:00;ANNUA;FIX;4.0;40.0;2.332E8;2.332E8;2.290751584E8;55.0;4240000.0;4165002.88;1700000.0;1669930.4;54.0;0.0;2.3274E8;0.002;4311434.4123;-0.0166;1731666.6667;-0.0183;0.0;200000.0;900000.0;;;;;;;;;960000.0;-1.0;;;;;;;;;67.2722;-1.0;;;;;;;;;;;;
AT0000A33SH3;2023-08-29;2023-08-29T00:00:00;0.9411764706;0.9553752535;0.8052738337;0.9046653144;AT0000A33SH3;A;T1;H01.50;N;N;2026-05-23T00:00:00;2026-05-22T00:00:00;2025-05-23T00:00:00;2026-05-23T00:00:00;ANNUA;FIX;2.9;29.0;1.33706E9;1.33706E9;1.24758839721E9;80.0;1.671325E7;1.55948549651E7;2030000.0;1894159.1599;77.0;0.0;1.3584076333333E9;-0.0157;1.76000950951E7;-0.0504;2015966.6667;0.007;4.9118E7;1.16965E8;6.7947E7;8.0;6139750.0;100.4439;21000.0;100.4794;100.4795;20.0;0.0;9.01039E7;-0.4549;4960113.5568;0.2378;278916.6667;-0.9247;100.39;5.0E-4;100.4915;-1.0E-4;100.2537;0.0023;;;;;;;;;;;;
AT0000A326N4;2023-08-29;2023-08-29T00:00:00;0.8936435397;0.9123390112;0.9476526797;0.9268799335;AT0000A326N4;A;T1;H02.50;N;N;2026-01-31T00:00:00;2026-01-30T00:00:00;2025-01-31T00:00:00;2026-01-31T00:00:00;ANNUA;FIX;3.125;31.25;4.97E7;4.97E7;4.87529665E7;6.0;8283333.3333;8125494.4167;2500000.0;2452362.5;6.0;0.0;5.02E7;-0.01;7962698.4127;0.0403;2166666.6667;0.1538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A2XLD9;2023-08-29;2023-08-29T00:00:00;0.8034898214;0.8192771084;0.9488990445;0.8620689655;AT0000A2XLD9;A;T1;H01.50;N;N;2026-04-28T00:00:00;2026-04-27T00:00:00;2025-04-28T00:00:00;2026-04-28T00:00:00;ANNUA;FIX;1.375;13.75;1.078E8;1.078E8;9.981741E7;7.0;1.54E7;1.425963E7;2000000.0;1851900.0;6.0;0.0;1.078466666667E8;-4.0E-4;1.54918253968E7;-0.0059;2030000.0;-0.0148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A2XLD9;2023-08-28;2023-08-28T00:00:00;0.8045738046;0.8203742204;0.9505197505;0.8636174636;AT0000A2XLD9;A;T1;H01.50;N;N;2026-04-28T00:00:00;2026-04-27T00:00:00;2025-04-28T00:00:00;2026-04-28T00:00:00;ANNUA;FIX;1.375;13.75;1.078E8;1.078E8;9.9654632E7;7.0;1.54E7;1.4236376E7;2000000.0;1848880.0;6.0;0.0;1.0783E8;-3.0E-4;1.55746031746E7;-0.0112;2053333.3333;-0.026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A32562;2023-08-28;2023-08-28T00:00:00;0.9671517672;0.9929313929;0.9970893971;0.9883575884;AT0000A32562;A;T1;H14.00;N;N;2026-01-16T00:00:00;2026-01-15T00:00:00;2025-01-16T00:00:00;2026-01-16T00:00:00;ANNUA;FIX;4.0;40.0;2.322E8;2.322E8;2.280654468E8;55.0;4221818.1818;4146644.4873;1700000.0;1669729.8;54.0;0.0;2.3264E8;-0.0019;4309616.2305;-0.0204;1731666.6667;-0.0183;2400000.0;;200000.0;3.0;800000.0;100.2613;500000.0;100.2613;99.9242;;;993333.3333;1.4161;;;;;;;;;70.6226;0.4149;;;;;;;;;;;;
AT0000A33SH3;2023-08-28;2023-08-28T00:00:00;0.9614604462;0.9655172414;0.799188641;0.9411764706;AT0000A33SH3;A;T1;H01.50;N;N;2026-05-23T00:00:00;2026-05-22T00:00:00;2025-05-23T00:00:00;2026-05-23T00:00:00;ANNUA;FIX;2.9;29.0;1.35641E9;1.35641E9;1.3486219413955E9;80.0;1.6955125E7;1.68577742674E7;2115000.0;2102856.3679;77.0;0.0;1.3591434E9;-0.002;1.76635954376E7;-0.0401;2010300.0;0.0521;2.09085E8;4.9118E7;1.16965E8;19.0;1.10044736842E7;100.5234;400000.0;100.789;99.8939;21.0;0.0;8.87316333333E7;1.3564;4768074.2711;1.3079;280983.3333;0.4236;100.3735;0.0015;100.4829;0.003;100.2446;-0.0035;;;;;;;;;;;;
AT0000A34QR4;2023-08-28;2023-08-28T00:00:00;0.9920997921;0.9966735967;0.9941787942;0.9933471933;AT0000A34QR4;A;T1;H14.00;N;N;2026-05-30T00:00:00;2026-05-29T00:00:00;2025-05-30T00:00:00;2026-05-30T00:00:00;ANNUA;FIX;4.25;42.5;1.689E8;1.689E8;1.678866E8;40.0;4222500.0;4197165.0;1100000.0;1093400.0;39.0;0.0;1.612266666667E8;0.0476;4093585.9085;0.0315;1015000.0;0.0837;1.04E7;200000.0;;5.0;2080000.0;100.871;300000.0;100.782;100.9303;3.0;0.0;2586666.6667;3.0206;458894.4911;3.5326;295000.0;0.0169;70.5576;0.4296;70.5474;0.4286;70.5011;0.4316;;;;;;;;;;;;
AT0000A326N4;2023-08-28;2023-08-28T00:00:00;0.901039501;0.9193347193;0.9492723493;0.9305613306;AT0000A326N4;A;T1;H02.50;N;N;2026-01-31T00:00:00;2026-01-30T00:00:00;2025-01-31T00:00:00;2026-01-31T00:00:00;ANNUA;FIX;3.125;31.25;4.97E7;4.97E7;4.86575425E7;6.0;8283333.3333;8109590.4167;2500000.0;2447562.5;6.0;0.0;5.024E7;-0.0107;7928968.2539;0.0447;2133333.3333;0.1719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
