RequestedISIN;RequestedDate;referenceDate;compositeLiquidityScore;concentrationWeightedLiquidityScore;holdingScore;turnoverScore;isin;amountType;ecbTiering;ecbHaircut;optionFlag;zeroCouponFlag;couponPaymentDate;couponRecordDate;interestPeriodStartDate;interestPeriodEndDate;couponPaymentFrequency;rateType;couponInterestRate;couponGrossAmount;aggregatedHoldingData.freeFloatHolding;aggregatedHoldingData.freeFloatHoldingEur;aggregatedHoldingData.freeFloatMarketValueEur;aggregatedHoldingData.concentration;aggregatedHoldingData.averageHoldingSizeEur;aggregatedHoldingData.averageHoldingSizeMarketValueEur;aggregatedHoldingData.medianHoldingSizeEur;aggregatedHoldingData.medianHoldingSizeMarketValueEur;aggregatedHoldingData.simpleMovingAverage['30'].concentration;aggregatedHoldingData.simpleMovingAverage['30'].concentrationDelta;aggregatedHoldingData.simpleMovingAverage['30'].freeFloatHolding;aggregatedHoldingData.simpleMovingAverage['30'].freeFloatHoldingDelta;aggregatedHoldingData.simpleMovingAverage['30'].averageHoldingSize;aggregatedHoldingData.simpleMovingAverage['30'].averageHoldingSizeDelta;aggregatedHoldingData.simpleMovingAverage['30'].medianHoldingSize;aggregatedHoldingData.simpleMovingAverage['30'].medianHoldingSizeDelta;aggregatedTransactionData.totalVolCurrentBD.volumeEur;aggregatedTransactionData.totalVolNext1BD.volumeEur;aggregatedTransactionData.totalVolNext2BD.volumeEur;aggregatedTransactionData.transactionCount;aggregatedTransactionData.averageTicketSizeEur;aggregatedTransactionData.averageGrossSettlementPriceEur;aggregatedTransactionData.medianTicketSizeEur;aggregatedTransactionData.medianGrossSettlementPriceEur;aggregatedTransactionData.settlementVWAPEur;aggregatedTransactionData.simpleMovingAverage['30'].concentration;aggregatedTransactionData.simpleMovingAverage['30'].concentrationDelta;aggregatedTransactionData.simpleMovingAverage['30'].volume;aggregatedTransactionData.simpleMovingAverage['30'].volumeDelta;aggregatedTransactionData.simpleMovingAverage['30'].averageTicketSize;aggregatedTransactionData.simpleMovingAverage['30'].averageTicketSizeDelta;aggregatedTransactionData.simpleMovingAverage['30'].medianTicketSize;aggregatedTransactionData.simpleMovingAverage['30'].medianTicketSizeDelta;aggregatedTransactionData.simpleMovingAverage['30'].averageGrossSettlementPrice;aggregatedTransactionData.simpleMovingAverage['30'].averageGrossSettlementPriceDelta;aggregatedTransactionData.simpleMovingAverage['30'].medianGrossSettlementPrice;aggregatedTransactionData.simpleMovingAverage['30'].medianGrossSettlementPriceDelta;aggregatedTransactionData.simpleMovingAverage['30'].settlementVWAP;aggregatedTransactionData.simpleMovingAverage['30'].settlementVWAPDelta;transaction.transactionId;transaction.transactionDate;transaction.settlementDate;transaction.transactionType;transaction.transactionStatus;transaction.quantity;transaction.quantityUnit;transaction.cashAmount;transaction.cashSettlementCurrency;transaction.grossSettlementPrice;transaction.receivingPartyType;transaction.deliveringPartyType
AT0000A32562;2023-09-29;2023-09-29T00:00:00;0.9713935431;0.9795668165;0.996322027;0.9856967716;AT0000A32562;A;T1;H14.00;N;N;2026-01-16T00:00:00;2026-01-15T00:00:00;2025-01-16T00:00:00;2026-01-16T00:00:00;ANNUA;FIX;4.0;40.0;2.305E8;2.305E8;2.24296784E8;58.0;3974137.931;3867185.931;1100000.0;1070396.8;55.0;0.0;2.330766666667E8;-0.0111;4190845.3076;-0.0517;1608333.3333;-0.3161;3800000.0;2400000.0;600000.0;8.0;475000.0;100.5547;400000.0;100.4154;100.5762;;;913333.3333;3.1606;;;;;;;;;57.5352;0.7481;;;;;;;;;;;;
AT0000A326N4;2023-09-29;2023-09-29T00:00:00;0.8365345321;0.873722926;0.9411524315;0.8990600736;AT0000A326N4;A;T1;H02.50;N;N;2026-01-31T00:00:00;2026-01-30T00:00:00;2025-01-31T00:00:00;2026-01-31T00:00:00;ANNUA;FIX;3.125;31.25;4.97E7;4.97E7;4.83444325E7;6.0;8283333.3333;8057405.4167;2500000.0;2431812.5;6.0;0.0;4.97E7;0.0;8283333.3333;0.0;2500000.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A2XLD9;2023-09-29;2023-09-29T00:00:00;0.9305271761;0.9485083776;0.9570903147;0.9624029424;AT0000A2XLD9;A;T1;H01.50;N;N;2026-04-28T00:00:00;2026-04-27T00:00:00;2025-04-28T00:00:00;2026-04-28T00:00:00;ANNUA;FIX;1.375;13.75;1.071E8;1.071E8;9.8762265E7;6.0;1.785E7;1.64603775E7;2700000.0;2489805.0;6.0;0.0;1.074733333333E8;-0.0035;1.65433333333E7;0.079;2326666.6667;0.1605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A33SH3;2023-09-29;2023-09-29T00:00:00;0.74749499;0.7134268537;0.8116232465;0.7775551102;AT0000A33SH3;A;T1;H01.50;N;N;2026-05-23T00:00:00;2026-05-22T00:00:00;2025-05-23T00:00:00;2026-05-23T00:00:00;ANNUA;FIX;2.9;29.0;1.308216E9;1.308216E9;1.28673509328E9;85.0;1.53907764706E7;1.51380599209E7;2000000.0;1967160.0;81.0;0.0;1.3760192333333E9;-0.0493;1.68961582671E7;-0.0891;2063333.3333;-0.0307;1.8719E7;2.32705E8;1.758E7;23.0;813869.5652;99.4376;60000.0;99.8696;97.6225;23.0;0.0;1.097836666667E8;-0.8295;4981959.7152;-0.8366;167650.0;-0.6421;100.2961;-0.0086;100.3875;-0.0052;100.0472;-0.0242;;;;;;;;;;;;
AT0000A34QR4;2023-09-29;2023-09-29T00:00:00;0.9820187985;0.9799754802;0.9930527176;0.9885574172;AT0000A34QR4;A;T1;H14.00;N;N;2026-05-30T00:00:00;2026-05-29T00:00:00;2025-05-30T00:00:00;2026-05-30T00:00:00;ANNUA;FIX;4.25;42.5;1.864E8;1.864E8;1.84129648E8;48.0;3883333.3333;3836034.3333;1350000.0;1333557.0;40.0;0.0;1.700533333333E8;0.0961;4244617.4258;-0.0851;1198333.3333;0.1266;7300000.0;300000.0;1.66E7;18.0;405555.5556;100.3339;200000.0;100.2946;100.281;3.0;5.0;2680000.0;1.7239;526214.597;-0.2293;378333.3333;-0.4714;57.2969;0.7511;57.2392;0.7522;57.3069;0.7499;;;;;;;;;;;;
AT0000A33SH3;2023-09-28;2023-09-28T00:00:00;0.8657314629;0.8517034068;0.8056112224;0.8677354709;AT0000A33SH3;A;T1;H01.50;N;N;2026-05-23T00:00:00;2026-05-22T00:00:00;2025-05-23T00:00:00;2026-05-23T00:00:00;ANNUA;FIX;2.9;29.0;1.347353E9;1.347353E9;1.324447999E9;85.0;1.58512117647E7;1.55817411647E7;2000000.0;1966000.0;81.0;0.0;1.3786607E9;-0.0227;1.70081143668E7;-0.068;2065666.6667;-0.0318;7.3632E7;1.8719E7;2.32705E8;25.0;2945280.0;99.8095;170000.0;99.9106;100.7675;23.0;0.0;1.094165333333E8;-0.327;4964343.0754;-0.4067;169250.0;0.0044;100.3052;-0.0049;100.3933;-0.0048;100.0872;0.0068;;;;;;;;;;;;
AT0000A34QR4;2023-09-28;2023-09-28T00:00:00;0.9889480147;0.9918133442;0.992222677;0.9918133442;AT0000A34QR4;A;T1;H14.00;N;N;2026-05-30T00:00:00;2026-05-29T00:00:00;2025-05-30T00:00:00;2026-05-30T00:00:00;ANNUA;FIX;4.25;42.5;1.852E8;1.852E8;1.8147748E8;46.0;4026086.9565;3945162.6087;1250000.0;1224875.0;39.0;0.0;1.695266666667E8;0.0925;4257339.648;-0.0543;1186666.6667;0.0534;1.14E7;7300000.0;300000.0;10.0;1140000.0;100.5644;300000.0;100.545;100.5463;3.0;2.0;2546666.6667;3.4764;522696.0784;1.181;378333.3333;-0.207;57.2907;0.7553;57.2337;0.7567;57.3027;0.7547;;;;;;;;;;;;
AT0000A32562;2023-09-28;2023-09-28T00:00:00;0.9316414245;0.9750307;0.9959066721;0.9742120344;AT0000A32562;A;T1;H14.00;N;N;2026-01-16T00:00:00;2026-01-15T00:00:00;2025-01-16T00:00:00;2026-01-16T00:00:00;ANNUA;FIX;4.0;40.0;2.309E8;2.309E8;2.23114052E8;54.0;4275925.9259;4131741.7037;1600000.0;1546048.0;55.0;0.0;2.331633333333E8;-0.0097;4207797.1202;0.0162;1633333.3333;-0.0204;1200000.0;3800000.0;2400000.0;4.0;300000.0;101.511;300000.0;100.9665;101.6199;;;790000.0;0.519;;;;;;;;;57.521;0.7667;;;;;;;;;;;;
AT0000A2XLD9;2023-09-28;2023-09-28T00:00:00;0.9443307409;0.9512893983;0.9578387229;0.967253377;AT0000A2XLD9;A;T1;H01.50;N;N;2026-04-28T00:00:00;2026-04-27T00:00:00;2025-04-28T00:00:00;2026-04-28T00:00:00;ANNUA;FIX;1.375;13.75;1.071E8;1.071E8;9.8440965E7;6.0;1.785E7;1.64068275E7;2700000.0;2481705.0;6.0;0.0;1.074966666667E8;-0.0037;1.64616666667E7;0.0843;2303333.3333;0.1722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A326N4;2023-09-28;2023-09-28T00:00:00;0.8370855506;0.8763814982;0.9410560786;0.8993041343;AT0000A326N4;A;T1;H02.50;N;N;2026-01-31T00:00:00;2026-01-30T00:00:00;2025-01-31T00:00:00;2026-01-31T00:00:00;ANNUA;FIX;3.125;31.25;4.97E7;4.97E7;4.817421E7;6.0;8283333.3333;8029035.0;2500000.0;2423250.0;6.0;0.0;4.97E7;0.0;8283333.3333;0.0;2500000.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
