RequestedISIN;RequestedDate;referenceDate;compositeLiquidityScore;concentrationWeightedLiquidityScore;holdingScore;turnoverScore;isin;amountType;ecbTiering;ecbHaircut;optionFlag;zeroCouponFlag;couponPaymentDate;couponRecordDate;interestPeriodStartDate;interestPeriodEndDate;couponPaymentFrequency;rateType;couponInterestRate;couponGrossAmount;aggregatedHoldingData.freeFloatHolding;aggregatedHoldingData.freeFloatHoldingEur;aggregatedHoldingData.freeFloatMarketValueEur;aggregatedHoldingData.concentration;aggregatedHoldingData.averageHoldingSizeEur;aggregatedHoldingData.averageHoldingSizeMarketValueEur;aggregatedHoldingData.medianHoldingSizeEur;aggregatedHoldingData.medianHoldingSizeMarketValueEur;aggregatedHoldingData.simpleMovingAverage['30'].concentration;aggregatedHoldingData.simpleMovingAverage['30'].concentrationDelta;aggregatedHoldingData.simpleMovingAverage['30'].freeFloatHolding;aggregatedHoldingData.simpleMovingAverage['30'].freeFloatHoldingDelta;aggregatedHoldingData.simpleMovingAverage['30'].averageHoldingSize;aggregatedHoldingData.simpleMovingAverage['30'].averageHoldingSizeDelta;aggregatedHoldingData.simpleMovingAverage['30'].medianHoldingSize;aggregatedHoldingData.simpleMovingAverage['30'].medianHoldingSizeDelta;aggregatedTransactionData.totalVolCurrentBD.volumeEur;aggregatedTransactionData.totalVolNext1BD.volumeEur;aggregatedTransactionData.totalVolNext2BD.volumeEur;aggregatedTransactionData.transactionCount;aggregatedTransactionData.averageTicketSizeEur;aggregatedTransactionData.averageGrossSettlementPriceEur;aggregatedTransactionData.medianTicketSizeEur;aggregatedTransactionData.medianGrossSettlementPriceEur;aggregatedTransactionData.settlementVWAPEur;aggregatedTransactionData.simpleMovingAverage['30'].concentration;aggregatedTransactionData.simpleMovingAverage['30'].concentrationDelta;aggregatedTransactionData.simpleMovingAverage['30'].volume;aggregatedTransactionData.simpleMovingAverage['30'].volumeDelta;aggregatedTransactionData.simpleMovingAverage['30'].averageTicketSize;aggregatedTransactionData.simpleMovingAverage['30'].averageTicketSizeDelta;aggregatedTransactionData.simpleMovingAverage['30'].medianTicketSize;aggregatedTransactionData.simpleMovingAverage['30'].medianTicketSizeDelta;aggregatedTransactionData.simpleMovingAverage['30'].averageGrossSettlementPrice;aggregatedTransactionData.simpleMovingAverage['30'].averageGrossSettlementPriceDelta;aggregatedTransactionData.simpleMovingAverage['30'].medianGrossSettlementPrice;aggregatedTransactionData.simpleMovingAverage['30'].medianGrossSettlementPriceDelta;aggregatedTransactionData.simpleMovingAverage['30'].settlementVWAP;aggregatedTransactionData.simpleMovingAverage['30'].settlementVWAPDelta;transaction.transactionId;transaction.transactionDate;transaction.settlementDate;transaction.transactionType;transaction.transactionStatus;transaction.quantity;transaction.quantityUnit;transaction.cashAmount;transaction.cashSettlementCurrency;transaction.grossSettlementPrice;transaction.receivingPartyType;transaction.deliveringPartyType
AT0000A2XLD9;2024-02-29;2024-02-29T00:00:00;0.8423871461;0.86993114;0.9342004591;0.9257842387;AT0000A2XLD9;A;T1;H01.50;N;N;2026-04-28T00:00:00;2026-04-27T00:00:00;2025-04-28T00:00:00;2026-04-28T00:00:00;ANNUA;FIX;1.375;13.75;1.071E8;1.071E8;1.0094175E8;6.0;1.785E7;1.6823625E7;2700000.0;2544750.0;6.0;0.0;1.0713E8;-3.0E-4;1.76842857143E7;0.0094;2653333.3333;0.0176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A326N4;2024-02-29;2024-02-29T00:00:00;0.9793420046;0.9862280031;0.9613618975;0.9770466718;AT0000A326N4;A;T1;H02.50;N;N;2026-01-31T00:00:00;2026-01-30T00:00:00;2025-01-31T00:00:00;2026-01-31T00:00:00;ANNUA;FIX;3.125;31.25;4.32E7;4.32E7;4.277124E7;5.0;8640000.0;8554248.0;1000000.0;990075.0;4.0;0.0;4.31433333333E7;0.0013;8841833.3333;-0.0228;1025000.0;-0.0244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A33SH3;2024-02-29;2024-02-29T00:00:00;0.7827715356;0.7883895131;0.8333333333;0.8389513109;AT0000A33SH3;A;T1;H01.50;N;N;2026-05-23T00:00:00;2026-05-22T00:00:00;2025-05-23T00:00:00;2026-05-23T00:00:00;ANNUA;FIX;2.9;29.0;1.727731E9;1.727731E9;1.7396523439E9;108.0;1.59975092593E7;1.61078920731E7;2135000.0;2149731.5;109.0;0.0;1.5738138E9;0.0978;1.43215012614E7;0.117;1916616.6667;0.1139;7733000.0;678000.0;1.2582E7;16.0;483312.5;103.3235;41500.0;103.2718;103.2608;22.0;0.0;1.629677E8;-0.9525;4162828.9608;-0.8839;306116.6667;-0.8644;103.8305;-0.0049;103.8504;-0.0056;103.7586;-0.0048;;;;;;;;;;;;
AT0000A32562;2024-02-29;2024-02-29T00:00:00;0.0;0.0;0.9946442234;0.0;AT0000A32562;A;T1;H14.00;N;N;2026-01-16T00:00:00;2026-01-15T00:00:00;2025-01-16T00:00:00;2026-01-16T00:00:00;ANNUA;FIX;4.0;40.0;2.268E8;2.268E8;2.30137847352E8;54.0;4200000.0;4261811.988;1100000.0;1116188.854;53.0;0.0;2.233E8;0.0157;4150467.4755;0.0119;1145000.0;-0.0393;0.0;600000.0;2600000.0;;;;;;;4.0;-1.0;2820000.0;-1.0;551506.6138;-1.0;468333.3333;-1.0;75.4763;-1.0;75.451;-1.0;75.4821;-1.0;;;;;;;;;;;;
AT0000A34QR4;2024-02-29;2024-02-29T00:00:00;0.9468247896;0.9781943382;0.9896710023;0.9758990054;AT0000A34QR4;A;T1;H14.00;N;N;2026-05-30T00:00:00;2026-05-29T00:00:00;2025-05-30T00:00:00;2026-05-30T00:00:00;ANNUA;FIX;4.25;42.5;1.459E8;1.459E8;1.49611696E8;46.0;3171739.1304;3252428.1739;850000.0;871624.0;46.0;0.0;1.462266666667E8;-0.0022;3185364.3138;-0.0043;876666.6667;-0.0304;600000.0;300000.0;;5.0;120000.0;105.8283;100000.0;105.8283;105.8283;3.0;0.0;3506666.6667;-0.8289;837067.3401;-0.8566;628333.3333;-0.8408;70.5083;0.5009;70.5435;0.5002;70.4182;0.5029;;;;;;;;;;;;
AT0000A2XLD9;2024-02-28;2024-02-28T00:00:00;0.8427311086;0.8703490602;0.9344073648;0.9271192942;AT0000A2XLD9;A;T1;H01.50;N;N;2026-04-28T00:00:00;2026-04-27T00:00:00;2025-04-28T00:00:00;2026-04-28T00:00:00;ANNUA;FIX;1.375;13.75;1.071E8;1.071E8;1.00882845E8;6.0;1.785E7;1.68138075E7;2700000.0;2543265.0;6.0;0.0;1.0713E8;-3.0E-4;1.76842857143E7;0.0094;2653333.3333;0.0176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A326N4;2024-02-28;2024-02-28T00:00:00;0.9869581895;0.9957805907;0.9696969697;0.9842731109;AT0000A326N4;A;T1;H02.50;N;N;2026-01-31T00:00:00;2026-01-30T00:00:00;2025-01-31T00:00:00;2026-01-31T00:00:00;ANNUA;FIX;3.125;31.25;4.32E7;4.32E7;4.273236E7;5.0;8640000.0;8546472.0;1000000.0;989175.0;4.0;0.0;4.31433333333E7;0.0013;8841833.3333;-0.0228;1025000.0;-0.0244;1300000.0;;;;;;;;;;;120000.0;9.8333;;;;;;;;;0.0;0.0;;;;;;;;;;;;
AT0000A33SH3;2024-02-28;2024-02-28T00:00:00;0.8461538462;0.8480300188;0.8386491557;0.8855534709;AT0000A33SH3;A;T1;H01.50;N;N;2026-05-23T00:00:00;2026-05-22T00:00:00;2025-05-23T00:00:00;2026-05-23T00:00:00;ANNUA;FIX;2.9;29.0;1.663015E9;1.663015E9;1.67327024808E9;115.0;1.4461E7;1.45501760703E7;2005000.0;2017364.1533;109.0;0.0;1.5540323333333E9;0.0701;1.41821006055E7;0.0197;1885450.0;0.0634;2.7763E7;7733000.0;678000.0;16.0;1735187.5;103.5012;15000.0;103.5029;103.5286;22.0;0.0;1.682149333333E8;-0.835;4539932.8299;-0.6178;306516.6667;-0.9511;103.862;-0.0035;103.8837;-0.0037;103.7923;-0.0025;;;;;;;;;;;;
AT0000A32562;2024-02-28;2024-02-28T00:00:00;0.9543536632;0.9884925201;0.9953970081;0.9823551975;AT0000A32562;A;T1;H14.00;N;N;2026-01-16T00:00:00;2026-01-15T00:00:00;2025-01-16T00:00:00;2026-01-16T00:00:00;ANNUA;FIX;4.0;40.0;2.256E8;2.256E8;2.28623360352E8;53.0;4256603.7736;4313648.3085;1200000.0;1216081.704;53.0;0.0;2.2353E8;0.0093;4149574.6183;0.0258;1153333.3333;0.0405;1200000.0;;600000.0;3.0;400000.0;102.4239;300000.0;102.4239;102.4239;4.0;0.0;2870000.0;-0.5819;564006.6138;-0.2908;483333.3333;-0.3793;78.9;0.2981;78.8747;0.2986;78.9079;0.298;;;;;;;;;;;;
AT0000A34QR4;2024-02-28;2024-02-28T00:00:00;0.9712313003;0.9919447641;0.9666283084;0.9865746068;AT0000A34QR4;A;T1;H14.00;N;N;2026-05-30T00:00:00;2026-05-29T00:00:00;2025-05-30T00:00:00;2026-05-30T00:00:00;ANNUA;FIX;4.25;42.5;1.392E8;1.392E8;1.42551936E8;44.0;3163636.3636;3239816.7273;850000.0;870468.0;46.0;0.0;1.461866666667E8;-0.0478;3184494.7485;-0.0065;875000.0;-0.0286;;600000.0;300000.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
