RequestedISIN;RequestedDate;referenceDate;compositeLiquidityScore;concentrationWeightedLiquidityScore;holdingScore;turnoverScore;isin;amountType;ecbTiering;ecbHaircut;optionFlag;zeroCouponFlag;couponPaymentDate;couponRecordDate;interestPeriodStartDate;interestPeriodEndDate;couponPaymentFrequency;rateType;couponInterestRate;couponGrossAmount;aggregatedHoldingData.freeFloatHolding;aggregatedHoldingData.freeFloatHoldingEur;aggregatedHoldingData.freeFloatMarketValueEur;aggregatedHoldingData.concentration;aggregatedHoldingData.averageHoldingSizeEur;aggregatedHoldingData.averageHoldingSizeMarketValueEur;aggregatedHoldingData.medianHoldingSizeEur;aggregatedHoldingData.medianHoldingSizeMarketValueEur;aggregatedHoldingData.simpleMovingAverage['30'].concentration;aggregatedHoldingData.simpleMovingAverage['30'].concentrationDelta;aggregatedHoldingData.simpleMovingAverage['30'].freeFloatHolding;aggregatedHoldingData.simpleMovingAverage['30'].freeFloatHoldingDelta;aggregatedHoldingData.simpleMovingAverage['30'].averageHoldingSize;aggregatedHoldingData.simpleMovingAverage['30'].averageHoldingSizeDelta;aggregatedHoldingData.simpleMovingAverage['30'].medianHoldingSize;aggregatedHoldingData.simpleMovingAverage['30'].medianHoldingSizeDelta;aggregatedTransactionData.totalVolCurrentBD.volumeEur;aggregatedTransactionData.totalVolNext1BD.volumeEur;aggregatedTransactionData.totalVolNext2BD.volumeEur;aggregatedTransactionData.transactionCount;aggregatedTransactionData.averageTicketSizeEur;aggregatedTransactionData.averageGrossSettlementPriceEur;aggregatedTransactionData.medianTicketSizeEur;aggregatedTransactionData.medianGrossSettlementPriceEur;aggregatedTransactionData.settlementVWAPEur;aggregatedTransactionData.simpleMovingAverage['30'].concentration;aggregatedTransactionData.simpleMovingAverage['30'].concentrationDelta;aggregatedTransactionData.simpleMovingAverage['30'].volume;aggregatedTransactionData.simpleMovingAverage['30'].volumeDelta;aggregatedTransactionData.simpleMovingAverage['30'].averageTicketSize;aggregatedTransactionData.simpleMovingAverage['30'].averageTicketSizeDelta;aggregatedTransactionData.simpleMovingAverage['30'].medianTicketSize;aggregatedTransactionData.simpleMovingAverage['30'].medianTicketSizeDelta;aggregatedTransactionData.simpleMovingAverage['30'].averageGrossSettlementPrice;aggregatedTransactionData.simpleMovingAverage['30'].averageGrossSettlementPriceDelta;aggregatedTransactionData.simpleMovingAverage['30'].medianGrossSettlementPrice;aggregatedTransactionData.simpleMovingAverage['30'].medianGrossSettlementPriceDelta;aggregatedTransactionData.simpleMovingAverage['30'].settlementVWAP;aggregatedTransactionData.simpleMovingAverage['30'].settlementVWAPDelta;transaction.transactionId;transaction.transactionDate;transaction.settlementDate;transaction.transactionType;transaction.transactionStatus;transaction.quantity;transaction.quantityUnit;transaction.cashAmount;transaction.cashSettlementCurrency;transaction.grossSettlementPrice;transaction.receivingPartyType;transaction.deliveringPartyType
AT0000A33SH3;2024-01-31;2024-01-31T00:00:00;0.9395085066;0.9489603025;0.8336483932;0.9395085066;AT0000A33SH3;A;T1;H01.50;N;N;2026-05-23T00:00:00;2026-05-22T00:00:00;2025-05-23T00:00:00;2026-05-23T00:00:00;ANNUA;FIX;2.9;29.0;1.573629E9;1.573629E9;1.6121697864343E9;106.0;1.48455566038E7;1.52091489286E7;2000000.0;2048983.32;100.0;0.0;1.1468905666667E9;0.3721;1.13658909215E7;0.3061;1445083.3333;0.384;6.553E7;3.6304E7;2.84584E8;10.0;6553000.0;104.4649;291500.0;104.4391;104.3239;22.0;0.0;1.617492E8;-0.5949;4264333.7425;0.5367;507466.6667;-0.4256;101.0495;0.0338;100.9697;0.0344;101.0729;0.0322;;;;;;;;;;;;
AT0000A2XLD9;2024-01-31;2024-01-31T00:00:00;0.8463913547;0.8757236588;0.9351601698;0.9282130452;AT0000A2XLD9;A;T1;H01.50;N;N;2026-04-28T00:00:00;2026-04-27T00:00:00;2025-04-28T00:00:00;2026-04-28T00:00:00;ANNUA;FIX;1.375;13.75;1.071E8;1.071E8;1.0202346E8;6.0;1.785E7;1.700391E7;2700000.0;2572020.0;6.0;0.0;1.0718E8;-7.0E-4;1.76064285714E7;0.0138;2630000.0;0.0266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A32562;2024-01-31;2024-01-31T00:00:00;0.9903512157;0.9922809726;0.9949826322;0.9945966808;AT0000A32562;A;T1;H14.00;N;N;2026-01-16T00:00:00;2026-01-15T00:00:00;2025-01-16T00:00:00;2026-01-16T00:00:00;ANNUA;FIX;4.0;40.0;2.089E8;2.089E8;2.15862338273E8;52.0;4017307.6923;4151198.8129;1100000.0;1136661.427;55.0;0.0;2.318333333333E8;-0.0989;4163891.308;-0.0352;1541666.6667;-0.2865;1.16E7;5500000.0;5400000.0;14.0;828571.4286;103.6537;600000.0;103.6489;103.6541;3.0;3.0;2066666.6667;4.6129;523867.7249;0.5816;483333.3333;0.2414;59.3622;0.7461;59.3378;0.7468;59.3685;0.7459;;;;;;;;;;;;
AT0000A326N4;2024-01-31;2024-01-31T00:00:00;0.0;0.0;0.9467387109;0.0;AT0000A326N4;A;T1;H02.50;N;N;2026-01-31T00:00:00;2026-01-30T00:00:00;2025-01-31T00:00:00;2026-01-31T00:00:00;ANNUA;FIX;3.125;31.25;4.32E7;4.32E7;4.33242E7;5.0;8640000.0;8664840.0;1000000.0;1002875.0;4.0;0.0;4.31866666667E7;3.0E-4;8708666.6667;-0.0079;1008333.3333;-0.0083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A34QR4;2024-01-31;2024-01-31T00:00:00;0.9899652644;0.9972983404;0.9903512157;0.9930528753;AT0000A34QR4;A;T1;H14.00;N;N;2026-05-30T00:00:00;2026-05-29T00:00:00;2025-05-30T00:00:00;2026-05-30T00:00:00;ANNUA;FIX;4.25;42.5;1.509E8;1.509E8;1.56569313E8;48.0;3143750.0;3261860.6875;800000.0;830056.0;46.0;0.0;1.456133333333E8;0.0363;3127831.2316;0.0051;843333.3333;-0.0514;9000000.0;4700000.0;1300000.0;3.0;3000000.0;106.3448;3000000.0;106.3165;106.3448;;;2706666.6667;2.3251;;;;;;;;;59.8037;0.7782;;;;;;;;;;;;
AT0000A32562;2024-01-30;2024-01-30T00:00:00;0.9698725377;0.9864812669;0.9961375048;0.9857087679;AT0000A32562;A;T1;H14.00;N;N;2026-01-16T00:00:00;2026-01-15T00:00:00;2025-01-16T00:00:00;2026-01-16T00:00:00;ANNUA;FIX;4.0;40.0;2.214E8;2.214E8;2.2427883099E8;59.0;3752542.3729;3801336.1185;1000000.0;1013002.85;55.0;0.0;2.3241E8;-0.0474;4169610.6812;-0.1;1558333.3333;-0.3583;2800000.0;1.16E7;5500000.0;6.0;466666.6667;103.3007;400000.0;103.243;103.2944;;;1683333.3333;0.6634;;;;;;;;;55.9134;0.8474;;;;;;;;;;;;
AT0000A326N4;2024-01-30;2024-01-30T00:00:00;0.0;0.0;0.9466975666;0.0;AT0000A326N4;A;T1;H02.50;N;N;2026-01-31T00:00:00;2026-01-30T00:00:00;2025-01-31T00:00:00;2026-01-31T00:00:00;ANNUA;FIX;3.125;31.25;4.32E7;4.32E7;4.318704E7;5.0;8640000.0;8637408.0;1000000.0;999700.0;4.0;0.0;4.31866666667E7;3.0E-4;8708666.6667;-0.0079;1008333.3333;-0.0083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A2XLD9;2024-01-30;2024-01-30T00:00:00;0.8466589417;0.8748551564;0.9366550792;0.9277713403;AT0000A2XLD9;A;T1;H01.50;N;N;2026-04-28T00:00:00;2026-04-27T00:00:00;2025-04-28T00:00:00;2026-04-28T00:00:00;ANNUA;FIX;1.375;13.75;1.071E8;1.071E8;1.01745E8;6.0;1.785E7;1.69575E7;2700000.0;2565000.0;6.0;0.0;1.072066666667E8;-0.001;1.75252380952E7;0.0185;2606666.6667;0.0358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A34QR4;2024-01-30;2024-01-30T00:00:00;0.9864812669;0.9957512553;0.9907300116;0.9915025106;AT0000A34QR4;A;T1;H14.00;N;N;2026-05-30T00:00:00;2026-05-29T00:00:00;2025-05-30T00:00:00;2026-05-30T00:00:00;ANNUA;FIX;4.25;42.5;1.53E8;1.53E8;1.5786999E8;49.0;3122448.9796;3221836.5306;900000.0;928647.0;46.0;0.0;1.449433333333E8;0.0556;3126849.0887;-0.0014;846666.6667;0.063;4100000.0;9000000.0;4700000.0;3.0;1366666.6667;106.0509;200000.0;106.0509;106.0509;;;2410000.0;0.7012;;;;;;;;;56.2589;0.8851;;;;;;;;;;;;
AT0000A33SH3;2024-01-30;2024-01-30T00:00:00;0.9338374291;0.9376181474;0.8374291115;0.9300567108;AT0000A33SH3;A;T1;H01.50;N;N;2026-05-23T00:00:00;2026-05-22T00:00:00;2025-05-23T00:00:00;2026-05-23T00:00:00;ANNUA;FIX;2.9;29.0;1.582764E9;1.582764E9;1.6180596372E9;118.0;1.34132542373E7;1.37123698068E7;2000000.0;2044600.0;100.0;0.0;1.1324515333333E9;0.3976;1.12887892178E7;0.1882;1438950.0;0.3899;7.6092E7;6.553E7;3.6304E7;13.0;5853230.7692;104.1277;103000.0;104.1531;103.992;23.0;0.0;1.616275666667E8;-0.5292;4106568.0562;0.4253;517250.0;-0.8009;101.0552;0.0304;100.9799;0.0314;101.0819;0.0288;;;;;;;;;;;;
