RequestedISIN;RequestedDate;referenceDate;compositeLiquidityScore;concentrationWeightedLiquidityScore;holdingScore;turnoverScore;isin;amountType;ecbTiering;ecbHaircut;optionFlag;zeroCouponFlag;couponPaymentDate;couponRecordDate;interestPeriodStartDate;interestPeriodEndDate;couponPaymentFrequency;rateType;couponInterestRate;couponGrossAmount;aggregatedHoldingData.freeFloatHolding;aggregatedHoldingData.freeFloatHoldingEur;aggregatedHoldingData.freeFloatMarketValueEur;aggregatedHoldingData.concentration;aggregatedHoldingData.averageHoldingSizeEur;aggregatedHoldingData.averageHoldingSizeMarketValueEur;aggregatedHoldingData.medianHoldingSizeEur;aggregatedHoldingData.medianHoldingSizeMarketValueEur;aggregatedHoldingData.simpleMovingAverage['30'].concentration;aggregatedHoldingData.simpleMovingAverage['30'].concentrationDelta;aggregatedHoldingData.simpleMovingAverage['30'].freeFloatHolding;aggregatedHoldingData.simpleMovingAverage['30'].freeFloatHoldingDelta;aggregatedHoldingData.simpleMovingAverage['30'].averageHoldingSize;aggregatedHoldingData.simpleMovingAverage['30'].averageHoldingSizeDelta;aggregatedHoldingData.simpleMovingAverage['30'].medianHoldingSize;aggregatedHoldingData.simpleMovingAverage['30'].medianHoldingSizeDelta;aggregatedTransactionData.totalVolCurrentBD.volumeEur;aggregatedTransactionData.totalVolNext1BD.volumeEur;aggregatedTransactionData.totalVolNext2BD.volumeEur;aggregatedTransactionData.transactionCount;aggregatedTransactionData.averageTicketSizeEur;aggregatedTransactionData.averageGrossSettlementPriceEur;aggregatedTransactionData.medianTicketSizeEur;aggregatedTransactionData.medianGrossSettlementPriceEur;aggregatedTransactionData.settlementVWAPEur;aggregatedTransactionData.simpleMovingAverage['30'].concentration;aggregatedTransactionData.simpleMovingAverage['30'].concentrationDelta;aggregatedTransactionData.simpleMovingAverage['30'].volume;aggregatedTransactionData.simpleMovingAverage['30'].volumeDelta;aggregatedTransactionData.simpleMovingAverage['30'].averageTicketSize;aggregatedTransactionData.simpleMovingAverage['30'].averageTicketSizeDelta;aggregatedTransactionData.simpleMovingAverage['30'].medianTicketSize;aggregatedTransactionData.simpleMovingAverage['30'].medianTicketSizeDelta;aggregatedTransactionData.simpleMovingAverage['30'].averageGrossSettlementPrice;aggregatedTransactionData.simpleMovingAverage['30'].averageGrossSettlementPriceDelta;aggregatedTransactionData.simpleMovingAverage['30'].medianGrossSettlementPrice;aggregatedTransactionData.simpleMovingAverage['30'].medianGrossSettlementPriceDelta;aggregatedTransactionData.simpleMovingAverage['30'].settlementVWAP;aggregatedTransactionData.simpleMovingAverage['30'].settlementVWAPDelta;transaction.transactionId;transaction.transactionDate;transaction.settlementDate;transaction.transactionType;transaction.transactionStatus;transaction.quantity;transaction.quantityUnit;transaction.cashAmount;transaction.cashSettlementCurrency;transaction.grossSettlementPrice;transaction.receivingPartyType;transaction.deliveringPartyType
AT0000A32562;2023-10-31;2023-10-31T00:00:00;0.9591673339;0.9747798239;0.9963971177;0.9819855885;AT0000A32562;A;T1;H14.00;N;N;2026-01-16T00:00:00;2026-01-15T00:00:00;2025-01-16T00:00:00;2026-01-16T00:00:00;ANNUA;FIX;4.0;40.0;2.341E8;2.341E8;2.28561194E8;55.0;4256363.6364;4155658.0727;1500000.0;1464510.0;54.0;0.0;2.3031E8;0.0165;4234629.1309;0.0051;1488333.3333;0.0078;2000000.0;500000.0;6600000.0;9.0;222222.2222;100.5979;100000.0;100.5991;100.5986;4.0;1.0;2000000.0;0.0;510648.1481;-0.5648;331666.6667;-0.6985;87.1716;0.154;87.0898;0.1551;87.1094;0.1549;;;;;;;;;;;;
AT0000A326N4;2023-10-31;2023-10-31T00:00:00;0.9691753403;0.9815852682;0.9735788631;0.9659727782;AT0000A326N4;A;T1;H02.50;N;N;2026-01-31T00:00:00;2026-01-30T00:00:00;2025-01-31T00:00:00;2026-01-31T00:00:00;ANNUA;FIX;3.125;31.25;4.7E7;4.7E7;4.5957775E7;6.0;7833333.3333;7659629.1667;1250000.0;1222281.25;6.0;0.0;4.947E7;-0.0499;8169444.4444;-0.0411;2358333.3333;-0.47;600000.0;;;;;;;;;;;213333.3333;1.8125;;;;;;;;;3.3221;-1.0;;;;;;;;;;;;
AT0000A34QR4;2023-10-31;2023-10-31T00:00:00;0.9331465172;0.9779823859;0.9871897518;0.970376301;AT0000A34QR4;A;T1;H14.00;N;N;2026-05-30T00:00:00;2026-05-29T00:00:00;2025-05-30T00:00:00;2026-05-30T00:00:00;ANNUA;FIX;4.25;42.5;1.495E8;1.495E8;1.48173935E8;41.0;3646341.4634;3613998.4146;1100000.0;1090243.0;43.0;0.0;1.7662E8;-0.1535;4066843.9484;-0.1034;1235000.0;-0.1093;700000.0;1200000.0;3400000.0;3.0;233333.3333;100.7192;200000.0;100.7192;100.7192;4.0;0.0;4603333.3333;-0.8479;1124821.5488;-0.7926;1026666.6667;-0.8052;80.3561;0.2534;80.2804;0.2546;80.3627;0.2533;;;;;;;;;;;;
AT0000A33SH3;2023-10-31;2023-10-31T00:00:00;0.7933070866;0.7165354331;0.8090551181;0.8228346457;AT0000A33SH3;A;T1;H01.50;N;N;2026-05-23T00:00:00;2026-05-22T00:00:00;2025-05-23T00:00:00;2026-05-23T00:00:00;ANNUA;FIX;2.9;29.0;1.31619E9;1.31619E9;1.3014749958E9;91.0;1.44636263736E7;1.43019230308E7;2479000.0;2451284.78;88.0;0.0;1.3512477E9;-0.0259;1.522520868E7;-0.05;2191300.0;0.1313;2.1341E7;8.1994E7;6.4065E7;32.0;666906.25;100.2017;60000.0;100.2905;100.2084;33.0;0.0;1.139320333333E8;-0.8127;4018650.1395;-0.834;229066.6667;-0.7381;99.8188;0.0038;99.8657;0.0043;99.5948;0.0062;;;;;;;;;;;;
AT0000A2XLD9;2023-10-31;2023-10-31T00:00:00;0.8799039231;0.904723779;0.9471577262;0.9435548439;AT0000A2XLD9;A;T1;H01.50;N;N;2026-04-28T00:00:00;2026-04-27T00:00:00;2025-04-28T00:00:00;2026-04-28T00:00:00;ANNUA;FIX;1.375;13.75;1.071E8;1.071E8;9.9458415E7;6.0;1.785E7;1.65764025E7;2700000.0;2507355.0;6.0;0.0;1.071E8;0.0;1.785E7;0.0;2700000.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A33SH3;2023-10-30;2023-10-30T00:00:00;0.9114173228;0.8838582677;0.811023622;0.8937007874;AT0000A33SH3;A;T1;H01.50;N;N;2026-05-23T00:00:00;2026-05-22T00:00:00;2025-05-23T00:00:00;2026-05-23T00:00:00;ANNUA;FIX;2.9;29.0;1.336471E9;1.336471E9;1.3194755393284E9;92.0;1.45268586957E7;1.43421254275E7;2490000.0;2458335.4917;88.0;0.0;1.3525474333333E9;-0.0119;1.52939747927E7;-0.0502;2179416.6667;0.1425;1.26594E8;2.1341E7;8.1994E7;28.0;4521214.2857;100.2499;50500.0;100.0927;99.5106;32.0;0.0;1.183286666667E8;0.0699;4172557.8622;0.0836;228733.3333;-0.7792;99.8192;0.0043;99.8641;0.0023;99.595;-8.0E-4;;;;;;;;;;;;
AT0000A2XLD9;2023-10-30;2023-10-30T00:00:00;0.8798076923;0.905849359;0.9479166667;0.9451121795;AT0000A2XLD9;A;T1;H01.50;N;N;2026-04-28T00:00:00;2026-04-27T00:00:00;2025-04-28T00:00:00;2026-04-28T00:00:00;ANNUA;FIX;1.375;13.75;1.071E8;1.071E8;9.9394155E7;6.0;1.785E7;1.65656925E7;2700000.0;2505735.0;6.0;0.0;1.071233333333E8;-2.0E-4;1.77683333333E7;0.0046;2676666.6667;0.0087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A326N4;2023-10-30;2023-10-30T00:00:00;0.9895833333;0.9855769231;0.9655448718;0.9855769231;AT0000A326N4;A;T1;H02.50;N;N;2026-01-31T00:00:00;2026-01-30T00:00:00;2025-01-31T00:00:00;2026-01-31T00:00:00;ANNUA;FIX;3.125;31.25;4.76E7;4.76E7;4.651829E7;7.0;6800000.0;6645470.0;1000000.0;977275.0;6.0;0.0;4.956E7;-0.0395;8184444.4444;-0.1692;2400000.0;-0.5833;;600000.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A34QR4;2023-10-30;2023-10-30T00:00:00;0.9671474359;0.9827724359;0.9915865385;0.9819711538;AT0000A34QR4;A;T1;H14.00;N;N;2026-05-30T00:00:00;2026-05-29T00:00:00;2025-05-30T00:00:00;2026-05-30T00:00:00;ANNUA;FIX;4.25;42.5;1.709E8;1.709E8;1.69237143E8;44.0;3884090.9091;3846298.7045;1050000.0;1039783.5;43.0;0.0;1.773366666667E8;-0.0363;4087799.233;-0.0498;1240000.0;-0.1532;2100000.0;700000.0;1200000.0;6.0;350000.0;100.6446;300000.0;100.5897;100.6715;4.0;0.0;4683333.3333;-0.5516;1129960.4377;-0.6903;1031666.6667;-0.7092;80.3647;0.2523;80.2888;0.2528;80.3709;0.2526;;;;;;;;;;;;
AT0000A32562;2023-10-30;2023-10-30T00:00:00;0.9202724359;0.9831730769;0.9975961538;0.9703525641;AT0000A32562;A;T1;H14.00;N;N;2026-01-16T00:00:00;2026-01-15T00:00:00;2025-01-16T00:00:00;2026-01-16T00:00:00;ANNUA;FIX;4.0;40.0;2.339E8;2.339E8;2.27610429E8;54.0;4331481.4815;4215007.9444;1600000.0;1556976.0;54.0;0.0;2.3029E8;0.0157;4231738.4383;0.0236;1491666.6667;0.0726;800000.0;2000000.0;500000.0;;;;;;;4.0;0.0;1960000.0;-0.5918;529907.4074;-0.2452;355000.0;0.1268;87.255;0.1537;87.1731;0.1548;87.1928;0.1545;;;;;;;;;;;;
